0.25 1.5 1.5 001 656.314
0.25 1.5 1.5 002 1306.1
0.25 1.5 1.5 003 350.824
0.25 1.5 1.5 004 1495.07
0.25 1.5 1.5 005 1052.05
0.25 1.5 1.5 006 1310.86
0.25 1.5 1.5 007 404.11
0.25 1.5 1.5 008 1044.91
0.25 1.5 1.5 009 927.7
0.25 1.5 1.5 010 497.34
0.25 1.5 1.5 011 690.834
0.25 1.5 1.5 012 1017.08
0.25 1.5 1.5 013 1058.64
0.25 1.5 1.5 014 903.642
0.25 1.5 1.5 015 1138.62
0.25 1.5 1.5 016 1529.29
0.25 1.5 1.5 017 1352.9
0.25 1.5 1.5 018 917.128
0.25 1.5 1.5 019 494.046
0.25 1.5 1.5 020 891.37
0.25 1.5 1.5 021 1004.17
0.25 1.5 1.5 022 1522.75
0.25 1.5 1.5 023 844.788
0.25 1.5 1.5 024 1129.18
0.25 1.5 1.5 025 791.064
0.25 1.5 1.5 026 886.568
0.25 1.5 1.5 027 2277.66
0.25 1.5 1.5 028 476.128
0.25 1.5 1.5 029 501.34
0.25 1.5 1.5 030 763.08
0.25 1.5 1.5 031 793.19
0.25 1.5 1.5 032 500.982
0.25 1.5 1.5 033 1063.5
0.25 1.5 1.5 034 466.768
0.25 1.5 1.5 035 681.43
0.25 1.5 1.5 036 732.754
0.25 1.5 1.5 037 569.12
0.25 1.5 1.5 038 984.62
0.25 1.5 1.5 039 1268.18
0.25 1.5 1.5 040 713.358
0.25 1.5 1.5 041 675.454
0.25 1.5 1.5 042 503.766
0.25 1.5 1.5 043 832.63
0.25 1.5 1.5 044 1091.88
0.25 1.5 1.5 045 663.994
0.25 1.5 1.5 046 900.906
0.25 1.5 1.5 047 457.028
0.25 1.5 1.5 048 512.536
0.25 1.5 1.5 049 910.422
0.25 1.5 1.5 050 802.526
0.25 1.5 1.5 051 930.352
0.25 1.5 1.5 052 551.992
0.25 1.5 1.5 053 427.33
0.25 1.5 1.5 054 623.738
0.25 1.5 1.5 055 932.888
0.25 1.5 1.5 056 972.56
0.25 1.5 1.5 057 1035.49
0.25 1.5 1.5 058 892.816
0.25 1.5 1.5 059 830.11
0.25 1.5 1.5 060 996.442
0.25 1.5 1.5 061 661.422
0.25 1.5 1.5 062 527.732
0.25 1.5 1.5 063 676.466
0.25 1.5 1.5 064 629.314
0.25 1.5 1.5 065 1489.09
0.25 1.5 1.5 066 540.356
0.25 1.5 1.5 067 1218.06
0.25 1.5 1.5 068 442.242
0.25 1.5 1.5 069 931.102
0.25 1.5 1.5 070 400.47
0.25 1.5 1.5 071 1493.77
0.25 1.5 1.5 072 1463.45
0.25 1.5 1.5 073 1281.03
0.25 1.5 1.5 074 1264.96
0.25 1.5 1.5 075 1384
0.25 1.5 1.5 076 1391.81
0.25 1.5 1.5 077 1128
0.25 1.5 1.5 078 585.086
0.25 1.5 1.5 079 751.862
0.25 1.5 1.5 080 741.826
0.25 1.5 1.5 081 493.922
0.25 1.5 1.5 082 979.55
0.25 1.5 1.5 083 292.228
